epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2417,1.55698,6.81896,0.00753,0.80853,0.79457,0.85664,0.49274,1.66127,2.24902,0.01844,0.000663946,0.000663946,0.000663946
2,42.8038,1.45847,2.20828,0.00679,0.73413,0.74419,0.7779,0.40318,1.91209,1.17312,0.02032,0.00130427,0.00130427,0.00130427
3,62.88,1.43999,1.10583,0.00676,0.75475,0.81111,0.87385,0.534,1.60523,1.00724,0.01761,0.00191819,0.00191819,0.00191819
4,82.6575,1.40655,0.88277,0.00646,0.92263,0.92444,0.9611,0.6052,1.57786,0.77277,0.01442,0.0018812,0.0018812,0.0018812
5,102.593,1.39283,0.74522,0.00629,0.93214,0.89535,0.9611,0.57587,1.5463,0.76123,0.01548,0.0018416,0.0018416,0.0018416
6,122.598,1.34886,0.6866,0.00617,0.93495,0.94702,0.97528,0.64889,1.46867,0.6415,0.01495,0.001802,0.001802,0.001802
7,142.52,1.3088,0.64057,0.00582,0.95472,0.89899,0.97826,0.6538,1.38072,0.58595,0.01192,0.0017624,0.0017624,0.0017624
8,162.425,1.27823,0.59446,0.00566,0.96136,0.93411,0.97716,0.65869,1.38441,0.66674,0.01296,0.0017228,0.0017228,0.0017228
9,182.452,1.2471,0.5941,0.0055,0.93807,0.93943,0.98376,0.6699,1.42481,0.56511,0.01458,0.0016832,0.0016832,0.0016832
10,202.324,1.24184,0.5812,0.00542,0.94912,0.93985,0.97327,0.63666,1.47679,0.66884,0.01379,0.0016436,0.0016436,0.0016436
11,222.16,1.19892,0.54059,0.00516,0.98412,0.96075,0.98367,0.65658,1.42533,0.49318,0.01422,0.001604,0.001604,0.001604
12,242.019,1.21032,0.53468,0.00524,0.9742,0.96512,0.99111,0.69325,1.38075,0.45005,0.01181,0.0015644,0.0015644,0.0015644
13,261.882,1.17632,0.53309,0.00493,0.97272,0.95349,0.98666,0.65635,1.4089,0.5011,0.01576,0.0015248,0.0015248,0.0015248
14,281.694,1.16269,0.51521,0.00492,0.95425,0.97022,0.98771,0.68688,1.32115,0.55167,0.01141,0.0014852,0.0014852,0.0014852
15,301.635,1.1834,0.51382,0.00497,0.96864,0.9577,0.99095,0.70264,1.24536,0.4314,0.011,0.0014456,0.0014456,0.0014456
16,321.521,1.14961,0.49772,0.00488,0.97236,0.95446,0.98913,0.67954,1.2878,0.4552,0.01139,0.001406,0.001406,0.001406
17,341.578,1.13229,0.47249,0.00477,0.96479,0.95581,0.98689,0.64844,1.39176,0.45783,0.01281,0.0013664,0.0013664,0.0013664
18,361.397,1.12629,0.47489,0.00476,0.98802,0.95865,0.99283,0.6925,1.29488,0.42235,0.01029,0.0013268,0.0013268,0.0013268
19,381.366,1.08652,0.45678,0.00456,0.94254,0.94961,0.98615,0.70612,1.20466,0.4757,0.01025,0.0012872,0.0012872,0.0012872
20,401.282,1.0856,0.46231,0.00452,0.96162,0.97104,0.98973,0.69853,1.22315,0.43579,0.01073,0.0012476,0.0012476,0.0012476
21,421.275,1.11072,0.44425,0.00458,0.96909,0.97223,0.99189,0.70973,1.169,0.35952,0.01035,0.001208,0.001208,0.001208
22,441.15,1.08507,0.45427,0.00455,0.99533,0.97674,0.99311,0.71908,1.18964,0.36427,0.00922,0.0011684,0.0011684,0.0011684
23,461.234,1.05906,0.44201,0.00442,0.97875,0.97674,0.99056,0.7304,1.14525,0.41171,0.00922,0.0011288,0.0011288,0.0011288
24,481.051,1.05063,0.42861,0.00422,0.97663,0.9845,0.99331,0.72461,1.13713,0.40573,0.00913,0.0010892,0.0010892,0.0010892
25,500.947,1.04239,0.42587,0.00431,0.97869,0.97674,0.99251,0.71442,1.17785,0.37799,0.00994,0.0010496,0.0010496,0.0010496
26,520.736,1.04374,0.42176,0.00431,0.98428,0.97091,0.99305,0.72259,1.14009,0.39058,0.00944,0.00101,0.00101,0.00101
27,540.808,1.03323,0.40348,0.00417,0.9579,0.97013,0.99084,0.72053,1.07469,0.36321,0.00879,0.0009704,0.0009704,0.0009704
28,560.863,1.03393,0.40785,0.00423,0.98429,0.97114,0.99285,0.72784,1.11606,0.35541,0.01009,0.0009308,0.0009308,0.0009308
29,580.674,0.99482,0.39801,0.00399,0.98442,0.97963,0.99248,0.74051,1.06929,0.32728,0.00893,0.0008912,0.0008912,0.0008912
30,600.584,1.00086,0.38744,0.00406,0.97804,0.98062,0.99182,0.73209,1.07225,0.38279,0.00971,0.0008516,0.0008516,0.0008516
31,620.384,0.99221,0.39896,0.00407,0.99199,0.95979,0.99312,0.7189,1.10236,0.34656,0.0094,0.000812,0.000812,0.000812
32,640.357,0.96992,0.388,0.0039,0.97636,0.96036,0.99111,0.73966,1.04418,0.37414,0.00905,0.0007724,0.0007724,0.0007724
33,660.3,0.96307,0.37105,0.00387,0.9756,0.94961,0.9901,0.7453,1.0346,0.38435,0.00894,0.0007328,0.0007328,0.0007328
34,680.298,0.9665,0.36337,0.00394,0.93606,0.96463,0.98482,0.7359,1.00091,0.37536,0.00871,0.0006932,0.0006932,0.0006932
35,700.437,0.96132,0.38144,0.00383,0.97296,0.9761,0.99132,0.73675,1.02078,0.34863,0.00897,0.0006536,0.0006536,0.0006536
36,720.446,0.94519,0.37449,0.0038,0.96942,0.9831,0.99069,0.7519,0.99111,0.31562,0.00911,0.000614,0.000614,0.000614
37,740.578,0.93119,0.36074,0.00375,0.98411,0.96035,0.9908,0.75823,0.96248,0.4031,0.00798,0.0005744,0.0005744,0.0005744
38,760.678,0.93337,0.37291,0.00374,0.9805,0.97437,0.9923,0.75602,0.95328,0.33274,0.00795,0.0005348,0.0005348,0.0005348
39,780.831,0.91523,0.35485,0.00366,0.95122,0.98264,0.99036,0.74571,1.01599,0.33736,0.00825,0.0004952,0.0004952,0.0004952
