epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.889,1.52293,6.52743,0.00735,0.62974,0.60498,0.62771,0.30998,1.58503,2.53213,0.02176,0.000663946,0.000663946,0.000663946
2,42.3177,1.44862,2.00559,0.00652,0.81648,0.83916,0.87805,0.47127,1.55443,1.02378,0.01892,0.00130427,0.00130427,0.00130427
3,62.2406,1.45179,1.07578,0.00648,0.84241,0.87506,0.89241,0.48933,1.57946,0.87448,0.01792,0.00191819,0.00191819,0.00191819
4,82.3096,1.41862,0.82643,0.00622,0.93546,0.90391,0.94819,0.5342,1.58896,0.68016,0.02119,0.0018812,0.0018812,0.0018812
5,102.274,1.3896,0.70888,0.00611,0.96571,0.90747,0.96113,0.5997,1.38864,0.71981,0.01465,0.0018416,0.0018416,0.0018416
6,122.1,1.33044,0.6366,0.00569,0.92263,0.91459,0.96034,0.60281,1.28788,0.49819,0.0166,0.001802,0.001802,0.001802
7,141.912,1.33013,0.62121,0.00566,0.89402,0.89324,0.94056,0.56431,1.28232,0.6309,0.01622,0.0017624,0.0017624,0.0017624
8,161.716,1.29641,0.61488,0.00558,0.96371,0.97153,0.98822,0.65029,1.25123,0.3869,0.01437,0.0017228,0.0017228,0.0017228
9,181.528,1.25922,0.56341,0.00529,0.94182,0.94662,0.98537,0.67106,1.23424,0.47351,0.01678,0.0016832,0.0016832,0.0016832
10,201.383,1.26103,0.54764,0.00527,0.95855,0.95374,0.98643,0.66271,1.20817,0.41262,0.01301,0.0016436,0.0016436,0.0016436
11,221.237,1.24174,0.54227,0.00512,0.94344,0.96441,0.98517,0.67923,1.16169,0.39654,0.01411,0.001604,0.001604,0.001604
12,241.095,1.24235,0.52904,0.00514,0.97148,0.96967,0.98723,0.69891,1.12513,0.36968,0.01382,0.0015644,0.0015644,0.0015644
13,260.913,1.19432,0.50522,0.00495,0.97321,0.96797,0.98907,0.66406,1.17236,0.34773,0.01424,0.0015248,0.0015248,0.0015248
14,280.699,1.21225,0.51397,0.00509,0.95992,0.93753,0.98333,0.66413,1.16831,0.66044,0.0129,0.0014852,0.0014852,0.0014852
15,300.641,1.18337,0.51276,0.00491,0.98252,0.98221,0.99088,0.70551,1.12366,0.40495,0.01466,0.0014456,0.0014456,0.0014456
16,320.466,1.16675,0.46903,0.00477,0.99245,0.93607,0.9848,0.65723,1.31155,0.75132,0.01547,0.001406,0.001406,0.001406
17,340.323,1.16124,0.46953,0.00473,0.98534,0.95707,0.98808,0.71784,1.06813,0.3419,0.0124,0.0013664,0.0013664,0.0013664
18,360.143,1.11912,0.44854,0.00457,0.97634,0.97509,0.99111,0.70867,1.13601,0.34998,0.01518,0.0013268,0.0013268,0.0013268
19,379.836,1.12797,0.46267,0.00456,0.98561,0.97466,0.99292,0.74024,1.03939,0.30017,0.01243,0.0012872,0.0012872,0.0012872
20,399.752,1.0991,0.43734,0.0044,0.98205,0.98932,0.99012,0.71761,1.09162,0.30583,0.01271,0.0012476,0.0012476,0.0012476
21,419.741,1.10527,0.44831,0.00445,0.98143,0.97865,0.99007,0.73486,1.07008,0.3105,0.0132,0.001208,0.001208,0.001208
22,439.609,1.09194,0.44055,0.00441,0.98351,0.97865,0.99353,0.73085,1.08519,0.35878,0.01256,0.0011684,0.0011684,0.0011684
23,459.417,1.07894,0.42895,0.0043,0.97513,0.97673,0.99302,0.72724,1.10091,0.3106,0.01411,0.0011288,0.0011288,0.0011288
24,479.237,1.06324,0.41638,0.00418,0.96843,0.98259,0.99187,0.73467,1.0552,0.28736,0.01288,0.0010892,0.0010892,0.0010892
25,499.122,1.04652,0.40908,0.00421,0.97199,0.988,0.99046,0.74697,1.00517,0.28585,0.01176,0.0010496,0.0010496,0.0010496
26,519.061,1.04718,0.41921,0.00412,0.98731,0.99288,0.99247,0.74517,1.01548,0.26575,0.01184,0.00101,0.00101,0.00101
27,538.842,1.03405,0.40846,0.00412,0.97084,0.98932,0.99198,0.72542,1.09209,0.31501,0.01176,0.0009704,0.0009704,0.0009704
28,558.78,1.03678,0.41244,0.00406,0.9928,0.9814,0.99192,0.7159,1.14668,0.3007,0.0127,0.0009308,0.0009308,0.0009308
29,578.555,1.02707,0.40464,0.00394,0.98927,0.9842,0.99345,0.74032,1.03775,0.26664,0.01157,0.0008912,0.0008912,0.0008912
30,598.564,1.02084,0.39939,0.00401,0.98764,0.98577,0.99354,0.7492,1.02224,0.26834,0.01157,0.0008516,0.0008516,0.0008516
31,618.286,1.00093,0.39135,0.00394,0.98894,0.98932,0.9922,0.7414,1.03448,0.26806,0.01149,0.000812,0.000812,0.000812
32,638.151,0.99972,0.38873,0.00389,0.99215,0.98932,0.99246,0.76237,0.96936,0.2507,0.0114,0.0007724,0.0007724,0.0007724
33,658.297,0.98093,0.38108,0.00375,0.98577,0.99644,0.99354,0.73948,1.02257,0.26604,0.01148,0.0007328,0.0007328,0.0007328
34,678.086,0.97943,0.37104,0.00376,0.98585,1,0.99341,0.75924,0.96601,0.2432,0.01135,0.0006932,0.0006932,0.0006932
35,697.872,0.94985,0.35649,0.00365,0.98536,0.98577,0.99397,0.75324,1.00406,0.27344,0.01221,0.0006536,0.0006536,0.0006536
36,717.876,0.96214,0.37109,0.00368,0.9796,0.99288,0.99402,0.7541,1.0125,0.26937,0.01131,0.000614,0.000614,0.000614
37,737.798,0.93245,0.35973,0.00362,0.99362,0.99288,0.99218,0.75658,0.99517,0.25815,0.01096,0.0005744,0.0005744,0.0005744
38,757.748,0.93405,0.36531,0.00364,0.98589,0.99447,0.99339,0.75054,1.00728,0.2705,0.0116,0.0005348,0.0005348,0.0005348
39,777.64,0.92075,0.34887,0.00357,0.98553,1,0.99321,0.76685,0.9755,0.25688,0.01151,0.0004952,0.0004952,0.0004952
40,797.535,0.91341,0.3479,0.0035,0.98001,0.98932,0.99326,0.76173,1.00294,0.26878,0.01109,0.0004556,0.0004556,0.0004556
41,818.512,0.89609,0.2978,0.00386,0.97823,0.98577,0.99297,0.76633,0.98744,0.26966,0.01138,0.000416,0.000416,0.000416
42,838.421,0.88416,0.29072,0.00379,0.98583,0.99023,0.99344,0.76377,0.99239,0.26594,0.0106,0.0003764,0.0003764,0.0003764
43,858.188,0.86742,0.28667,0.00374,0.98933,0.98967,0.99321,0.77585,0.98248,0.26129,0.01098,0.0003368,0.0003368,0.0003368
44,878.063,0.86951,0.28235,0.00367,0.99132,1,0.99373,0.7648,0.98819,0.24518,0.01127,0.0002972,0.0002972,0.0002972
45,897.872,0.84801,0.27593,0.00357,0.98936,0.99227,0.99367,0.76944,0.96869,0.24933,0.01095,0.0002576,0.0002576,0.0002576
46,917.59,0.84052,0.2726,0.00357,0.98747,0.99644,0.99345,0.77968,0.95258,0.24992,0.01074,0.000218,0.000218,0.000218
47,937.407,0.8361,0.26492,0.00354,0.97553,0.99327,0.99334,0.77776,0.97095,0.25579,0.01118,0.0001784,0.0001784,0.0001784
48,957.07,0.81937,0.26493,0.00342,0.9824,0.99309,0.99343,0.77627,0.95849,0.27063,0.01099,0.0001388,0.0001388,0.0001388
49,976.842,0.81903,0.26529,0.00341,0.98932,0.98925,0.99344,0.78146,0.9363,0.26119,0.01085,9.92e-05,9.92e-05,9.92e-05
50,996.722,0.81601,0.26416,0.00342,0.9891,0.99644,0.99342,0.7745,0.97225,0.25162,0.01074,5.96e-05,5.96e-05,5.96e-05
