epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5797,1.66574,6.70431,0.00611,0.92446,0.79348,0.88999,0.50129,1.40634,1.94815,0.01436,0.000663968,0.000663968,0.000663968
2,50.8912,1.54158,2.09694,0.00547,0.91317,0.81159,0.89725,0.34118,2.00652,1.1338,0.01948,0.00130429,0.00130429,0.00130429
3,73.8494,1.57624,1.2434,0.00561,0.95262,0.87426,0.93665,0.52309,1.58153,0.79555,0.01414,0.00191821,0.00191821,0.00191821
4,96.3122,1.52051,0.93726,0.00532,0.90433,0.88768,0.92953,0.54962,1.41212,0.80686,0.01345,0.0018812,0.0018812,0.0018812
5,119.799,1.49123,0.8473,0.00518,0.98034,0.91304,0.97231,0.60076,1.34338,0.53367,0.01189,0.0018416,0.0018416,0.0018416
6,142.643,1.46233,0.79188,0.00514,0.93566,0.89579,0.9628,0.59008,1.35524,0.65252,0.01425,0.001802,0.001802,0.001802
7,165.152,1.43794,0.72819,0.00498,0.96485,0.96014,0.97929,0.59941,1.37979,0.51926,0.01547,0.0017624,0.0017624,0.0017624
8,187.73,1.39821,0.70439,0.00479,0.99074,0.88043,0.97287,0.60693,1.27076,0.60207,0.01086,0.0017228,0.0017228,0.0017228
9,210.728,1.37478,0.67788,0.00467,0.97646,0.90173,0.97433,0.59088,1.32418,0.50194,0.01147,0.0016832,0.0016832,0.0016832
10,233.836,1.36785,0.64717,0.00462,0.978,0.96644,0.98532,0.64992,1.21166,0.44144,0.01041,0.0016436,0.0016436,0.0016436
11,256.517,1.34183,0.64642,0.00453,0.98103,0.94928,0.98274,0.61912,1.32007,0.47423,0.01227,0.001604,0.001604,0.001604
12,279.247,1.33319,0.62714,0.00446,0.96226,0.8913,0.96762,0.62595,1.29224,0.58058,0.01242,0.0015644,0.0015644,0.0015644
13,301.609,1.33255,0.59892,0.00448,0.95331,0.96377,0.98789,0.65864,1.24928,0.42697,0.0108,0.0015248,0.0015248,0.0015248
14,324.288,1.30314,0.59659,0.0044,0.96594,0.92468,0.97795,0.62725,1.28782,0.47914,0.01189,0.0014852,0.0014852,0.0014852
15,346.947,1.29119,0.57166,0.00436,0.95734,0.89441,0.97411,0.65867,1.20815,0.49271,0.01077,0.0014456,0.0014456,0.0014456
16,370.451,1.26253,0.56152,0.00416,0.96663,0.94459,0.98199,0.66328,1.15005,0.40759,0.01005,0.001406,0.001406,0.001406
17,393.558,1.26215,0.5511,0.00418,0.95916,0.93603,0.97834,0.64205,1.19843,0.4834,0.01041,0.0013664,0.0013664,0.0013664
18,416.673,1.23289,0.52953,0.00409,0.98105,0.8587,0.95438,0.63113,1.26464,0.54541,0.0117,0.0013268,0.0013268,0.0013268
19,439.373,1.20806,0.52118,0.004,0.9556,0.93116,0.98091,0.64871,1.19379,0.45646,0.01117,0.0012872,0.0012872,0.0012872
20,462.081,1.22327,0.52324,0.00401,0.98502,0.95285,0.98951,0.66585,1.18348,0.39727,0.01043,0.0012476,0.0012476,0.0012476
21,485.26,1.21861,0.51877,0.004,0.99205,0.96377,0.99029,0.67749,1.15132,0.36613,0.01028,0.001208,0.001208,0.001208
22,508.237,1.2056,0.53007,0.00393,0.98859,0.94139,0.98765,0.6771,1.18331,0.40903,0.01077,0.0011684,0.0011684,0.0011684
23,530.834,1.18785,0.49692,0.00391,0.98141,0.95644,0.9877,0.65595,1.18899,0.36867,0.01099,0.0011288,0.0011288,0.0011288
24,554.003,1.17943,0.48988,0.00381,0.97388,0.94576,0.98542,0.6889,1.10025,0.42573,0.00948,0.0010892,0.0010892,0.0010892
25,576.641,1.17617,0.48308,0.00384,0.978,0.96626,0.98935,0.69478,1.08397,0.34011,0.00962,0.0010496,0.0010496,0.0010496
26,599.374,1.17559,0.48344,0.0038,0.97413,0.9551,0.9905,0.68678,1.09267,0.38493,0.0098,0.00101,0.00101,0.00101
27,622.565,1.18176,0.46764,0.00386,0.98063,0.98188,0.98955,0.66695,1.1809,0.34247,0.01141,0.0009704,0.0009704,0.0009704
28,645.789,1.17109,0.48943,0.00379,0.99281,0.97464,0.99298,0.69249,1.12071,0.32093,0.00983,0.0009308,0.0009308,0.0009308
29,668.454,1.14601,0.45133,0.00368,0.97827,0.97888,0.99228,0.7042,1.06894,0.30819,0.00958,0.0008912,0.0008912,0.0008912
30,691.735,1.13952,0.4484,0.00362,0.97151,0.98829,0.99068,0.70413,1.06982,0.34143,0.00995,0.0008516,0.0008516,0.0008516
31,714.035,1.11982,0.4416,0.00361,0.97764,0.98551,0.99082,0.70791,1.06342,0.33281,0.00938,0.000812,0.000812,0.000812
32,737.234,1.11766,0.43888,0.00354,0.99623,0.95862,0.98956,0.69875,1.08807,0.33348,0.00967,0.0007724,0.0007724,0.0007724
33,760.084,1.09985,0.43325,0.00351,0.98096,0.98551,0.99212,0.71227,1.05492,0.34925,0.0095,0.0007328,0.0007328,0.0007328
34,782.898,1.09888,0.42328,0.00353,0.98307,0.97101,0.99119,0.71481,1.05897,0.32442,0.00984,0.0006932,0.0006932,0.0006932
35,806.157,1.08616,0.41507,0.00351,0.98189,0.98236,0.99336,0.71002,1.03877,0.30625,0.00939,0.0006536,0.0006536,0.0006536
36,829.25,1.08424,0.41823,0.00342,0.98888,0.96639,0.99013,0.7091,1.01713,0.32974,0.00923,0.000614,0.000614,0.000614
37,851.931,1.08401,0.41651,0.00348,0.98534,0.97434,0.98993,0.7061,1.03182,0.32677,0.00915,0.0005744,0.0005744,0.0005744
38,874.448,1.0589,0.41336,0.00338,0.9926,0.97154,0.99243,0.72617,1.01156,0.29984,0.009,0.0005348,0.0005348,0.0005348
39,897.317,1.06329,0.40873,0.0034,0.99388,0.97101,0.99144,0.72119,1.02766,0.32871,0.0094,0.0004952,0.0004952,0.0004952
40,920.309,1.04376,0.39106,0.00334,0.98536,0.97531,0.99336,0.71787,1.01527,0.31907,0.00866,0.0004556,0.0004556,0.0004556
41,944.443,1.01864,0.33649,0.00368,0.99228,0.98188,0.9941,0.7212,1.01716,0.31345,0.00891,0.000416,0.000416,0.000416
42,966.904,1.00381,0.31557,0.00359,0.98845,0.97101,0.99014,0.71291,1.02218,0.31571,0.00914,0.0003764,0.0003764,0.0003764
43,990.052,0.98702,0.30945,0.00356,0.99267,0.98118,0.99001,0.72189,0.99858,0.28935,0.00859,0.0003368,0.0003368,0.0003368
44,1012.21,0.98209,0.31943,0.00351,0.99119,0.97826,0.9912,0.72947,0.99447,0.29142,0.00865,0.0002972,0.0002972,0.0002972
45,1034.41,0.97365,0.3072,0.00348,0.98189,0.9823,0.98949,0.72301,1.0184,0.31163,0.00877,0.0002576,0.0002576,0.0002576
46,1056.91,0.96803,0.31161,0.00343,0.98876,0.98551,0.99072,0.73208,0.99052,0.29438,0.00889,0.000218,0.000218,0.000218
47,1080.39,0.9557,0.30271,0.00337,0.98904,0.98113,0.99038,0.72642,0.98709,0.29713,0.00859,0.0001784,0.0001784,0.0001784
48,1103.46,0.95428,0.29652,0.00338,0.98852,0.97826,0.99356,0.73532,0.98769,0.28496,0.00874,0.0001388,0.0001388,0.0001388
49,1126.2,0.94591,0.29321,0.00335,0.98177,0.97547,0.99253,0.73062,0.97235,0.29571,0.00857,9.92e-05,9.92e-05,9.92e-05
50,1149.88,0.93832,0.29838,0.00332,0.9898,0.98188,0.99306,0.73125,0.98689,0.29234,0.00867,5.96e-05,5.96e-05,5.96e-05
