epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4561,1.5841,7.18857,0.00725,0.74591,0.67213,0.77891,0.43262,1.60085,2.20234,0.01938,0.00066358,0.00066358,0.00066358
2,36.9899,1.4661,2.45752,0.00657,0.9383,0.85246,0.92765,0.56987,1.55584,0.95943,0.01705,0.00130391,0.00130391,0.00130391
3,54.1097,1.50238,1.24216,0.0065,0.9361,0.90053,0.96168,0.59017,1.53098,0.79688,0.01627,0.00191784,0.00191784,0.00191784
4,71.2439,1.47379,0.91355,0.00624,0.89138,0.91803,0.962,0.53821,1.72858,0.68566,0.01942,0.0018812,0.0018812,0.0018812
5,88.194,1.43886,0.78705,0.00599,0.93266,0.90821,0.97071,0.58089,1.55358,0.73215,0.0186,0.0018416,0.0018416,0.0018416
6,105.279,1.39862,0.72552,0.00588,0.91326,0.86302,0.93311,0.60161,1.55118,0.65475,0.02006,0.001802,0.001802,0.001802
7,122.377,1.39765,0.68951,0.00577,0.80458,0.79306,0.85641,0.52364,1.63528,0.9821,0.02044,0.0017624,0.0017624,0.0017624
8,139.351,1.34598,0.63076,0.00546,0.94395,0.91393,0.9712,0.63596,1.40872,0.55972,0.01661,0.0017228,0.0017228,0.0017228
9,156.414,1.31168,0.63036,0.00526,0.78434,0.81967,0.8569,0.53812,1.5356,1.19064,0.0198,0.0016832,0.0016832,0.0016832
10,173.375,1.31488,0.61475,0.00543,0.91848,0.95492,0.96165,0.61676,1.36097,0.69105,0.0144,0.0016436,0.0016436,0.0016436
11,190.478,1.30356,0.60411,0.00517,0.91415,0.93443,0.96553,0.6238,1.48087,0.54247,0.01654,0.001604,0.001604,0.001604
12,207.508,1.28582,0.61049,0.00506,0.71662,0.87295,0.85847,0.52689,1.61199,0.84174,0.02034,0.0015644,0.0015644,0.0015644
13,224.791,1.25067,0.56804,0.00501,0.93792,0.97951,0.98406,0.65438,1.39411,0.51664,0.01751,0.0015248,0.0015248,0.0015248
14,241.837,1.24261,0.53249,0.00485,0.95055,0.94533,0.96748,0.55131,1.7394,0.57082,0.01762,0.0014852,0.0014852,0.0014852
15,258.876,1.2413,0.51283,0.00489,0.97408,0.92402,0.98005,0.64093,1.41074,0.48344,0.01503,0.0014456,0.0014456,0.0014456
16,275.908,1.21257,0.51193,0.00473,0.96297,0.9593,0.98759,0.6636,1.35809,0.49613,0.01496,0.001406,0.001406,0.001406
17,292.952,1.23283,0.52727,0.00489,0.95422,0.93957,0.98096,0.673,1.33564,0.49707,0.01404,0.0013664,0.0013664,0.0013664
18,310.008,1.19941,0.48958,0.00463,0.97069,0.94997,0.98386,0.68594,1.26593,0.41534,0.01397,0.0013268,0.0013268,0.0013268
19,327.035,1.18169,0.48098,0.00445,0.95169,0.96882,0.98546,0.69449,1.23469,0.44117,0.01179,0.0012872,0.0012872,0.0012872
20,344.187,1.14896,0.48345,0.00442,0.96439,0.94672,0.98632,0.69426,1.22398,0.40735,0.01327,0.0012476,0.0012476,0.0012476
21,361.202,1.16641,0.46649,0.00438,0.91307,0.97131,0.9801,0.71064,1.13595,0.43123,0.0113,0.001208,0.001208,0.001208
22,378.255,1.14366,0.46336,0.00442,0.95542,0.96617,0.98281,0.69495,1.20919,0.43156,0.01108,0.0011684,0.0011684,0.0011684
23,395.331,1.15013,0.46948,0.00429,0.9446,0.97839,0.98323,0.69608,1.19977,0.40834,0.0123,0.0011288,0.0011288,0.0011288
24,412.415,1.12515,0.44911,0.00425,0.95205,0.92623,0.98059,0.68159,1.27016,0.46144,0.01446,0.0010892,0.0010892,0.0010892
25,429.469,1.11382,0.44268,0.00416,0.97894,0.95248,0.98681,0.70683,1.15718,0.39009,0.01161,0.0010496,0.0010496,0.0010496
26,446.485,1.0769,0.4304,0.00415,0.96705,0.96223,0.98531,0.70079,1.13743,0.47091,0.01305,0.00101,0.00101,0.00101
27,463.612,1.08653,0.45083,0.00403,0.96836,0.96311,0.98986,0.71622,1.14004,0.38479,0.01174,0.0009704,0.0009704,0.0009704
28,480.692,1.06425,0.44414,0.00399,0.95842,0.96721,0.98461,0.68901,1.1447,0.46688,0.01159,0.0009308,0.0009308,0.0009308
29,497.697,1.05684,0.41564,0.00404,0.97023,0.97951,0.98753,0.72126,1.11485,0.38402,0.01135,0.0008912,0.0008912,0.0008912
30,514.72,1.06028,0.4173,0.00392,0.97338,0.9877,0.98816,0.71738,1.14526,0.35647,0.01078,0.0008516,0.0008516,0.0008516
31,531.807,1.0338,0.41703,0.00382,0.96797,0.99094,0.98655,0.70099,1.18726,0.36988,0.01196,0.000812,0.000812,0.000812
32,548.895,1.02894,0.40113,0.00388,0.9619,0.97541,0.98619,0.69773,1.18702,0.38006,0.01203,0.0007724,0.0007724,0.0007724
33,565.901,1.0341,0.38261,0.00388,0.9793,0.9693,0.98877,0.71489,1.13695,0.32884,0.01126,0.0007328,0.0007328,0.0007328
34,583.014,1.01471,0.40001,0.00372,0.97844,0.96721,0.98902,0.72,1.12429,0.32912,0.01037,0.0006932,0.0006932,0.0006932
35,600.135,1.01033,0.38892,0.00379,0.96779,0.98521,0.98809,0.7069,1.15749,0.36051,0.01222,0.0006536,0.0006536,0.0006536
36,617.35,1.01158,0.38986,0.00374,0.97473,0.95902,0.98837,0.72399,1.04937,0.37793,0.00982,0.000614,0.000614,0.000614
37,634.464,0.98632,0.38878,0.00354,0.97942,0.9751,0.98711,0.72297,1.10911,0.34616,0.01041,0.0005744,0.0005744,0.0005744
38,651.758,0.99394,0.38138,0.00364,0.97184,0.9959,0.98851,0.72283,1.10522,0.31347,0.01061,0.0005348,0.0005348,0.0005348
39,668.808,0.96836,0.36991,0.00356,0.98764,0.98261,0.98848,0.72968,1.0721,0.31033,0.00993,0.0004952,0.0004952,0.0004952
40,685.873,0.97346,0.36523,0.00356,0.97148,0.9918,0.98653,0.7343,1.05072,0.31824,0.01022,0.0004556,0.0004556,0.0004556
41,703.724,0.95137,0.32345,0.00389,0.94674,0.97951,0.98495,0.73,1.08969,0.43216,0.01065,0.000416,0.000416,0.000416
42,720.775,0.93106,0.30467,0.0038,0.97572,0.98803,0.98733,0.724,1.12687,0.32221,0.01073,0.0003764,0.0003764,0.0003764
43,737.785,0.89495,0.29523,0.00365,0.98364,0.98586,0.98896,0.73024,1.08622,0.31486,0.01052,0.0003368,0.0003368,0.0003368
44,754.796,0.90544,0.29184,0.00372,0.96983,0.9918,0.98804,0.73367,1.07703,0.30792,0.01036,0.0002972,0.0002972,0.0002972
45,772.022,0.88895,0.2871,0.00358,0.97764,0.9918,0.98877,0.73062,1.07878,0.31186,0.00973,0.0002576,0.0002576,0.0002576
46,789.303,0.88638,0.28615,0.00361,0.9663,0.9918,0.98831,0.74105,1.0493,0.30636,0.00966,0.000218,0.000218,0.000218
