epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.729,1.69566,7.16317,0.00589,0.67368,0.67843,0.7048,0.35519,1.44814,2.60796,0.01691,0.00066373,0.00066373,0.00066373
2,45.5621,1.51239,2.44274,0.00508,0.74335,0.77238,0.78151,0.39976,1.4802,1.27313,0.01837,0.00130405,0.00130405,0.00130405
3,65.6119,1.49161,1.31673,0.00496,0.81321,0.82745,0.89081,0.50761,1.36195,0.93271,0.01471,0.00191798,0.00191798,0.00191798
4,85.1401,1.47936,1.04795,0.00482,0.88768,0.83681,0.93043,0.54097,1.39808,0.84595,0.01597,0.0018812,0.0018812,0.0018812
5,104.819,1.44842,0.88594,0.00471,0.92731,0.85048,0.94894,0.5941,1.33881,0.71241,0.01299,0.0018416,0.0018416,0.0018416
6,124.302,1.44794,0.82377,0.00469,0.83316,0.88124,0.93209,0.56512,1.42994,0.75895,0.01708,0.001802,0.001802,0.001802
7,144.565,1.41704,0.80937,0.00452,0.42037,0.55175,0.37907,0.15699,2.28002,2.16227,0.0427,0.0017624,0.0017624,0.0017624
8,164.105,1.41743,0.7327,0.00451,0.90739,0.8837,0.96706,0.55059,1.48393,0.61117,0.01673,0.0017228,0.0017228,0.0017228
9,184.093,1.36602,0.69682,0.00434,0.93668,0.85882,0.94446,0.60123,1.28187,0.59287,0.01352,0.0016832,0.0016832,0.0016832
10,203.937,1.35602,0.65205,0.00435,0.94405,0.92637,0.97789,0.63559,1.18819,0.57205,0.01082,0.0016436,0.0016436,0.0016436
11,224.312,1.3318,0.6591,0.00418,0.92789,0.89412,0.96886,0.60232,1.30288,0.57874,0.01183,0.001604,0.001604,0.001604
12,244.685,1.31857,0.61355,0.00409,0.93558,0.88627,0.97645,0.62709,1.23918,0.47292,0.01111,0.0015644,0.0015644,0.0015644
13,265.525,1.32383,0.61445,0.0041,0.90824,0.9451,0.98045,0.60377,1.31903,0.53854,0.01383,0.0015248,0.0015248,0.0015248
14,285.795,1.31355,0.56356,0.00409,0.76506,0.81176,0.79836,0.39315,1.73035,0.78628,0.02672,0.0014852,0.0014852,0.0014852
15,306.213,1.31645,0.56805,0.00413,0.93332,0.89804,0.96283,0.61252,1.32026,0.47615,0.013,0.0014456,0.0014456,0.0014456
16,326.415,1.29209,0.58136,0.00402,0.93849,0.88627,0.96069,0.62679,1.1983,0.49577,0.01091,0.001406,0.001406,0.001406
17,346.891,1.25242,0.54865,0.00389,0.93092,0.95132,0.97991,0.6552,1.18845,0.40189,0.01002,0.0013664,0.0013664,0.0013664
18,367.262,1.26175,0.52912,0.00393,0.94628,0.86667,0.967,0.62157,1.25865,0.4964,0.01123,0.0013268,0.0013268,0.0013268
19,388.387,1.23756,0.52554,0.00386,0.94358,0.94118,0.98027,0.63793,1.26057,0.44244,0.01127,0.0012872,0.0012872,0.0012872
20,408.628,1.23976,0.51156,0.00376,0.93734,0.93859,0.9846,0.63525,1.20664,0.40447,0.01134,0.0012476,0.0012476,0.0012476
21,429.471,1.22085,0.49618,0.00376,0.93175,0.96371,0.98493,0.65089,1.19879,0.4029,0.01148,0.001208,0.001208,0.001208
22,449.987,1.22334,0.51096,0.00369,0.96339,0.97255,0.99083,0.64818,1.25842,0.36236,0.01314,0.0011684,0.0011684,0.0011684
23,470.384,1.18733,0.47534,0.00362,0.97699,0.94902,0.98616,0.65394,1.25313,0.39955,0.01144,0.0011288,0.0011288,0.0011288
24,491.101,1.1829,0.47471,0.00361,0.94482,0.98039,0.99027,0.67549,1.13747,0.34556,0.00958,0.0010892,0.0010892,0.0010892
25,511.719,1.18613,0.45384,0.00361,0.96399,0.94481,0.98933,0.67007,1.15817,0.35788,0.00989,0.0010496,0.0010496,0.0010496
26,531.848,1.17478,0.45888,0.00351,0.99272,0.94118,0.9918,0.67784,1.15889,0.32844,0.01052,0.00101,0.00101,0.00101
27,552.705,1.17369,0.4572,0.00356,0.97572,0.96471,0.98966,0.67378,1.18669,0.34056,0.01126,0.0009704,0.0009704,0.0009704
28,573.698,1.13693,0.4321,0.00346,0.95678,0.95507,0.98727,0.67768,1.16299,0.34648,0.00994,0.0009308,0.0009308,0.0009308
29,594.139,1.12603,0.42113,0.00335,0.96507,0.97514,0.99097,0.68297,1.11896,0.35717,0.00992,0.0008912,0.0008912,0.0008912
30,614.572,1.13592,0.46213,0.00338,0.96046,0.96078,0.98639,0.69391,1.14366,0.35692,0.00986,0.0008516,0.0008516,0.0008516
31,634.873,1.11782,0.4461,0.00333,0.9721,0.95657,0.99031,0.68423,1.09694,0.36956,0.00926,0.000812,0.000812,0.000812
32,656.67,1.11672,0.42385,0.00328,0.96955,0.96863,0.9915,0.68749,1.14111,0.36189,0.00999,0.0007724,0.0007724,0.0007724
33,677.386,1.13018,0.43096,0.00337,0.94614,0.98039,0.99005,0.69678,1.10513,0.34837,0.00988,0.0007328,0.0007328,0.0007328
34,698.306,1.11121,0.42002,0.00332,0.96828,0.9578,0.99213,0.6868,1.10449,0.35192,0.01006,0.0006932,0.0006932,0.0006932
35,719.379,1.08956,0.40799,0.00325,0.93004,0.99049,0.98039,0.68145,1.08877,0.34414,0.00927,0.0006536,0.0006536,0.0006536
36,740.159,1.09091,0.40804,0.00319,0.94003,0.98361,0.9862,0.68527,1.11581,0.3462,0.01053,0.000614,0.000614,0.000614
37,761.484,1.07765,0.40493,0.00323,0.95295,0.95304,0.98792,0.69713,1.09174,0.39408,0.00929,0.0005744,0.0005744,0.0005744
38,782.83,1.08867,0.39405,0.00325,0.97961,0.98039,0.99091,0.71115,1.04432,0.32728,0.00879,0.0005348,0.0005348,0.0005348
