dataset,fold,modality,tag,data_yaml,checkpoint,model_variant,scope,threshold,source_activation,timesteps,replaced,spike_scale,calibration_stat,calibration_granularity,threshold_mean,threshold_min,threshold_max,split,precision,recall,map50,map50_95
single,,LF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/LF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_LF_relu/weights/best.pt,ANN,none,1.0,ReLU,1,0,threshold,p95,channel,1.0,1.0,1.0,val,0.934763,0.905405,0.931006,0.668664
single,,LF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/LF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_LF_relu/weights/best.pt,SNN,range5-10+range13-13+range17-22,0.4,ReLU,16,49,threshold,p95,channel,0.371411,1e-06,7.71668,val,0.953777,0.72973,0.897366,0.603241
single,,LF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/LF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_LF_relu/weights/best.pt,ANN,none,1.0,ReLU,1,0,threshold,p95,channel,1.0,1.0,1.0,test,0.895191,0.949061,0.955944,0.738888
single,,LF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/LF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_LF_relu/weights/best.pt,SNN,range5-10+range13-13+range17-22,0.4,ReLU,16,49,threshold,p95,channel,0.371411,1e-06,7.71668,test,0.890846,0.680122,0.881522,0.651685
single,,HF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/HF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_HF_relu/weights/best.pt,ANN,none,1.0,ReLU,1,0,threshold,p95,channel,1.0,1.0,1.0,val,0.888237,0.785714,0.926253,0.547913
single,,HF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/HF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_HF_relu/weights/best.pt,SNN,range5-10+range13-13+range17-22,0.4,ReLU,16,49,threshold,p95,channel,0.546962,1e-06,16.620243,val,0.877963,0.842857,0.935369,0.54226
single,,HF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/HF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_HF_relu/weights/best.pt,ANN,none,1.0,ReLU,1,0,threshold,p95,channel,1.0,1.0,1.0,test,0.878679,0.777778,0.869386,0.531649
single,,HF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/HF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_HF_relu/weights/best.pt,SNN,range5-10+range13-13+range17-22,0.4,ReLU,16,49,threshold,p95,channel,0.546962,1e-06,16.620243,test,0.906813,0.772381,0.876517,0.514776
