epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8405,1.50996,6.44588,0.0072,0.62176,0.68456,0.6715,0.34282,1.46757,2.30013,0.01774,0.000664151,0.000664151,0.000664151
2,47.2878,1.452,1.98704,0.00661,0.836,0.81879,0.88645,0.52188,1.38647,0.79361,0.01645,0.00130447,0.00130447,0.00130447
3,69.3681,1.45382,1.08764,0.00653,0.68056,0.71812,0.715,0.42677,1.38164,1.17508,0.01824,0.00191838,0.00191838,0.00191838
4,91.2024,1.39053,0.81277,0.00611,0.89327,0.87248,0.94263,0.59431,1.25064,0.64478,0.01215,0.0018812,0.0018812,0.0018812
5,113.064,1.35054,0.70747,0.00596,0.9073,0.88681,0.95669,0.62883,1.2269,0.54773,0.01183,0.0018416,0.0018416,0.0018416
6,134.774,1.33179,0.65293,0.00576,0.84914,0.7744,0.83764,0.50171,1.32792,0.84347,0.01766,0.001802,0.001802,0.001802
7,156.593,1.28125,0.61141,0.00549,0.92173,0.9094,0.96255,0.63457,1.20397,0.49419,0.01196,0.0017624,0.0017624,0.0017624
8,178.745,1.28759,0.59494,0.00556,0.9295,0.90268,0.9625,0.62399,1.27522,0.54168,0.01223,0.0017228,0.0017228,0.0017228
9,200.389,1.25689,0.58288,0.00521,0.94898,0.93625,0.97387,0.63416,1.17036,0.44165,0.01185,0.0016832,0.0016832,0.0016832
10,221.859,1.24842,0.55537,0.00525,0.95627,0.88063,0.96576,0.65348,1.13013,0.48757,0.01249,0.0016436,0.0016436,0.0016436
11,243.229,1.2157,0.57481,0.00514,0.9622,0.88255,0.96108,0.67519,1.05462,0.47229,0.00975,0.001604,0.001604,0.001604
12,264.738,1.22026,0.53322,0.00493,0.93381,0.94692,0.98069,0.67502,1.07033,0.41829,0.00976,0.0015644,0.0015644,0.0015644
13,286.237,1.20748,0.54355,0.00504,0.94299,0.94357,0.97586,0.68312,1.05288,0.44068,0.01034,0.0015248,0.0015248,0.0015248
14,307.68,1.16643,0.51803,0.00477,0.92395,0.96644,0.97974,0.66663,1.08132,0.41979,0.0103,0.0014852,0.0014852,0.0014852
15,329.186,1.15302,0.49085,0.00462,0.94329,0.95302,0.97682,0.6794,1.06243,0.39341,0.01071,0.0014456,0.0014456,0.0014456
16,350.676,1.11994,0.47676,0.00452,0.96934,0.95479,0.98343,0.6743,1.06129,0.34589,0.00922,0.001406,0.001406,0.001406
17,372.205,1.13428,0.49269,0.00457,0.96008,0.94295,0.98108,0.69781,1.00233,0.37104,0.00929,0.0013664,0.0013664,0.0013664
18,393.599,1.12519,0.45611,0.00452,0.95891,0.93289,0.98363,0.68596,1.05465,0.37796,0.00952,0.0013268,0.0013268,0.0013268
19,415.052,1.09711,0.45816,0.00441,0.94242,0.95302,0.9829,0.70415,1.00664,0.37948,0.00927,0.0012872,0.0012872,0.0012872
20,436.463,1.08646,0.44771,0.00433,0.94493,0.95973,0.98476,0.69739,0.9824,0.40677,0.00867,0.0012476,0.0012476,0.0012476
21,457.95,1.09036,0.44746,0.00435,0.95263,0.91611,0.97948,0.66832,1.08487,0.40619,0.00997,0.001208,0.001208,0.001208
22,479.556,1.05859,0.45141,0.00416,0.9559,0.9457,0.98119,0.67246,1.09663,0.36696,0.00942,0.0011684,0.0011684,0.0011684
23,500.983,1.07989,0.45175,0.00427,0.93148,0.95805,0.97664,0.71128,0.96241,0.36265,0.00814,0.0011288,0.0011288,0.0011288
24,522.457,1.03115,0.42873,0.00407,0.96508,0.9275,0.98227,0.69578,1.01509,0.36145,0.00948,0.0010892,0.0010892,0.0010892
25,543.874,1.03913,0.42914,0.00408,0.95974,0.95993,0.9877,0.72797,0.95343,0.30705,0.00862,0.0010496,0.0010496,0.0010496
26,565.407,1.01614,0.41228,0.00401,0.96592,0.95102,0.98741,0.712,0.98788,0.32236,0.0093,0.00101,0.00101,0.00101
27,586.904,1.00757,0.41083,0.00391,0.95727,0.96644,0.9842,0.70702,0.95485,0.32029,0.00947,0.0009704,0.0009704,0.0009704
28,608.358,1.02624,0.40839,0.00406,0.95129,0.98302,0.99054,0.72929,0.93455,0.28692,0.00852,0.0009308,0.0009308,0.0009308
29,629.88,1.01864,0.39622,0.00404,0.97598,0.95431,0.99082,0.723,0.95801,0.30125,0.00801,0.0008912,0.0008912,0.0008912
30,651.299,1.00079,0.40669,0.00388,0.95446,0.97315,0.98896,0.72968,0.90348,0.29912,0.00798,0.0008516,0.0008516,0.0008516
31,672.79,0.99931,0.3997,0.00392,0.94119,0.96667,0.987,0.72263,0.94496,0.30295,0.00856,0.000812,0.000812,0.000812
32,694.248,0.97691,0.39555,0.00377,0.95151,0.98781,0.98937,0.7349,0.93384,0.29235,0.00851,0.0007724,0.0007724,0.0007724
33,715.825,0.9717,0.3837,0.00376,0.95193,0.96644,0.98869,0.74361,0.8723,0.29431,0.00775,0.0007328,0.0007328,0.0007328
34,737.263,0.96129,0.37338,0.0037,0.97318,0.97651,0.98946,0.73176,0.929,0.28192,0.00788,0.0006932,0.0006932,0.0006932
35,758.732,0.97028,0.37886,0.00381,0.95536,0.95638,0.9871,0.73655,0.8733,0.29875,0.00713,0.0006536,0.0006536,0.0006536
36,780.254,0.95892,0.36848,0.00371,0.97702,0.95973,0.98782,0.72895,0.93804,0.28668,0.00771,0.000614,0.000614,0.000614
37,801.706,0.93699,0.36489,0.0036,0.97845,0.97315,0.99059,0.74437,0.88133,0.26522,0.00775,0.0005744,0.0005744,0.0005744
38,823.207,0.93691,0.35732,0.00362,0.97952,0.96296,0.99025,0.74222,0.88977,0.28483,0.00714,0.0005348,0.0005348,0.0005348
