modality,n_folds,test_map50_mean,test_map50_std,test_map50_95_mean,test_map50_95_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,val_map50_mean,val_map50_std,val_map50_95_mean,val_map50_95_std
LF,5,0.846,0.1011,0.4356,0.1904,0.9188,0.1252,0.8258,0.0643,0.9914,0.0027,0.7716,0.019
HF,5,0.9055,0.0427,0.3906,0.0942,0.9567,0.0239,0.8458,0.0659,0.9911,0.004,0.7386,0.0137
