dataset,fold,modality,tag,data_yaml,checkpoint,model_variant,scope,threshold,source_activation,timesteps,replaced,spike_scale,calibration_stat,calibration_granularity,threshold_mean,threshold_min,threshold_max,split,precision,recall,map50,map50_95
single,,LF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/LF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_LF_relu/weights/best.pt,ANN,none,1.0,ReLU,1,0,threshold,p99,channel,1.0,1.0,1.0,val,0.934763,0.905405,0.931006,0.668664
single,,LF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/LF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_LF_relu/weights/best.pt,SNN,range5-10+range13-13+range17-22,0.4,ReLU,16,49,threshold,p99,channel,0.455432,1e-06,7.857409,val,0.947401,0.743243,0.887116,0.59945
single,,LF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/LF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_LF_relu/weights/best.pt,ANN,none,1.0,ReLU,1,0,threshold,p99,channel,1.0,1.0,1.0,test,0.895191,0.949061,0.955944,0.738888
single,,LF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/LF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_LF_relu/weights/best.pt,SNN,range5-10+range13-13+range17-22,0.4,ReLU,16,49,threshold,p99,channel,0.455432,1e-06,7.857409,test,0.873204,0.666667,0.872905,0.646749
single,,HF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/HF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_HF_relu/weights/best.pt,ANN,none,1.0,ReLU,1,0,threshold,p99,channel,1.0,1.0,1.0,val,0.888237,0.785714,0.926253,0.547913
single,,HF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/HF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_HF_relu/weights/best.pt,SNN,range5-10+range13-13+range17-22,0.4,ReLU,16,49,threshold,p99,channel,0.636419,1e-06,16.735237,val,0.88219,0.842857,0.936735,0.541324
single,,HF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/HF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_HF_relu/weights/best.pt,ANN,none,1.0,ReLU,1,0,threshold,p99,channel,1.0,1.0,1.0,test,0.878679,0.777778,0.869386,0.531649
single,,HF,chunk2,/home/alperen/tez/datasets/subpipe_single_chunk/HF/data.yaml,/home/alperen/tez/runs/single_chunk/chunk2_HF_relu/weights/best.pt,SNN,range5-10+range13-13+range17-22,0.4,ReLU,16,49,threshold,p99,channel,0.636419,1e-06,16.735237,test,0.90584,0.763535,0.867901,0.514696
