epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5827,1.76283,8.95595,0.0064,0.6056,0.61149,0.5744,0.30409,1.40914,4.19035,0.01722,0.000661247,0.000661247,0.000661247
2,27.1138,1.50325,4.09221,0.00504,0.75783,0.72566,0.78572,0.42466,1.69817,1.4827,0.01908,0.00130162,0.00130162,0.00130162
3,38.7303,1.5506,2.19901,0.00531,0.87407,0.84071,0.88317,0.50943,1.59189,1.27285,0.01837,0.00191559,0.00191559,0.00191559
4,50.2844,1.53524,1.56277,0.00521,0.74124,0.82301,0.82603,0.38121,1.55514,1.63284,0.01942,0.0018812,0.0018812,0.0018812
5,61.6365,1.47156,1.12681,0.00501,0.93348,0.84071,0.92418,0.5251,1.58209,1.08362,0.01859,0.0018416,0.0018416,0.0018416
6,73.413,1.47364,1.00779,0.00498,0.87627,0.81477,0.90164,0.54912,1.50039,1.19357,0.01612,0.001802,0.001802,0.001802
7,85.7585,1.43296,0.94655,0.0047,0.89827,0.78146,0.86558,0.55559,1.45593,1.02138,0.01775,0.0017624,0.0017624,0.0017624
8,97.5979,1.41016,0.82366,0.00466,0.94294,0.84956,0.94095,0.60882,1.346,0.72805,0.01511,0.0017228,0.0017228,0.0017228
9,109.484,1.36257,0.72802,0.00457,0.98622,0.88496,0.95619,0.64483,1.18469,0.70132,0.01317,0.0016832,0.0016832,0.0016832
10,121.679,1.40995,0.73018,0.00469,0.90226,0.88496,0.91358,0.59511,1.33633,0.77962,0.01451,0.0016436,0.0016436,0.0016436
11,133.417,1.36126,0.68898,0.00452,0.97978,0.85756,0.94682,0.62216,1.34686,0.64771,0.0146,0.001604,0.001604,0.001604
12,145.533,1.33603,0.66155,0.00442,0.91866,0.89957,0.95259,0.60285,1.36242,0.69495,0.01623,0.0015644,0.0015644,0.0015644
13,156.831,1.30379,0.67143,0.00425,0.99109,0.83186,0.94925,0.6429,1.3062,0.63261,0.01456,0.0015248,0.0015248,0.0015248
14,168.663,1.32623,0.6288,0.00433,0.95594,0.9115,0.96854,0.66938,1.18425,0.57293,0.01345,0.0014852,0.0014852,0.0014852
15,180.2,1.26331,0.61394,0.00408,0.96949,0.88496,0.9679,0.65352,1.22798,0.55041,0.01308,0.0014456,0.0014456,0.0014456
16,192.583,1.25514,0.57203,0.00402,0.87467,0.8647,0.93651,0.63303,1.25208,0.67156,0.01244,0.001406,0.001406,0.001406
17,204.788,1.27213,0.58753,0.00405,0.92213,0.8384,0.9487,0.67569,1.13561,0.63029,0.01204,0.0013664,0.0013664,0.0013664
18,217.294,1.21301,0.55805,0.00382,0.97953,0.84678,0.95909,0.65962,1.24296,0.67945,0.01349,0.0013268,0.0013268,0.0013268
19,228.635,1.20886,0.55964,0.00387,0.97931,0.90265,0.96426,0.69323,1.17577,0.6006,0.01232,0.0012872,0.0012872,0.0012872
